,회사명,거래소코드,회계년도
286,(주)셀트리온,68270,2023/12
287,(주)솔루엠,248070,2020/12
288,(주)솔루엠,248070,2021/12
289,(주)솔루엠,248070,2022/12
290,(주)솔루엠,248070,2023/12
291,(주)수산인더스트리,126720,2020/12
292,(주)수산인더스트리,126720,2021/12
293,(주)수산인더스트리,126720,2022/12
294,(주)수산인더스트리,126720,2023/12
295,(주)수산중공업,17550,2020/12
296,(주)수산중공업,17550,2021/12
297,(주)수산중공업,17550,2022/12
298,(주)수산중공업,17550,2023/12
299,(주)시알홀딩스,480,2020/12
300,(주)시알홀딩스,480,2021/12
301,(주)시알홀딩스,480,2022/12
302,(주)시알홀딩스,480,2023/12
303,(주)신도리코,29530,2020/12
304,(주)신도리코,29530,2021/12
305,(주)신도리코,29530,2022/12
306,(주)신도리코,29530,2023/12
307,(주)신성이엔지,11930,2020/12
308,(주)신성이엔지,11930,2021/12
309,(주)신성이엔지,11930,2022/12
310,(주)신성이엔지,11930,2023/12
311,(주)신세계,4170,2020/12
312,(주)신세계,4170,2021/12
313,(주)신세계,4170,2022/12
314,(주)신세계,4170,2023/12
315,(주)신세계아이앤씨,35510,2022/12
316,(주)신세계아이앤씨,35510,2023/12
317,(주)신세계인터내셔날,31430,2020/12
318,(주)신세계인터내셔날,31430,2021/12
319,(주)신세계인터내셔날,31430,2022/12
320,(주)신세계인터내셔날,31430,2023/12
321,(주)신세계푸드,31440,2020/12
322,(주)신세계푸드,31440,2021/12
323,(주)신세계푸드,31440,2022/12
324,(주)신세계푸드,31440,2023/12
325,(주)신영와코루,5800,2020/12
326,(주)신영와코루,5800,2021/12
327,(주)신영와코루,5800,2022/12
328,(주)신영와코루,5800,2023/12
329,(주)신풍,2870,2020/12
330,(주)신풍,2870,2021/12
331,(주)신풍,2870,2022/12
332,(주)신풍,2870,2023/12
333,(주)신흥,4080,2020/12
334,(주)신흥,4080,2021/12
335,(주)신흥,4080,2022/12
336,(주)신흥,4080,2023/12
337,(주)쏘카,403550,2021/12
338,(주)쏘카,403550,2022/12
339,(주)쏘카,403550,2023/12
340,(주)씨아이테크,4920,2020/12
341,(주)씨아이테크,4920,2021/12
342,(주)씨아이테크,4920,2022/12
343,(주)씨아이테크,4920,2023/12
344,(주)씨티알모빌리티,308170,2020/12
345,(주)씨티알모빌리티,308170,2021/12
346,(주)씨티알모빌리티,308170,2022/12
347,(주)씨티알모빌리티,308170,2023/12
348,(주)아모레퍼시픽,90430,2020/12
349,(주)아모레퍼시픽,90430,2021/12
350,(주)아모레퍼시픽,90430,2022/12
351,(주)아모레퍼시픽,90430,2023/12
352,(주)아모레퍼시픽그룹,2790,2020/12
353,(주)아모레퍼시픽그룹,2790,2021/12
354,(주)아모레퍼시픽그룹,2790,2022/12
355,(주)아모레퍼시픽그룹,2790,2023/12
356,(주)아이에이치큐,3560,2020/12
357,(주)아이에이치큐,3560,2021/12
358,(주)아이에이치큐,3560,2022/12
359,(주)아이에이치큐,3560,2023/12
360,(주)알루코,1780,2020/12
361,(주)알루코,1780,2021/12
362,(주)알루코,1780,2022/12
363,(주)알루코,1780,2023/12
364,(주)에스메디,118000,2020/12
365,(주)에스메디,118000,2021/12
366,(주)에스메디,118000,2022/12
367,(주)에스메디,118000,2023/12
368,(주)에스비에스,34120,2020/12
369,(주)에스비에스,34120,2021/12
370,(주)에스비에스,34120,2022/12
371,(주)에스비에스,34120,2023/12
372,(주)에스원,12750,2020/12
373,(주)에스원,12750,2021/12
374,(주)에스원,12750,2022/12
375,(주)에스원,12750,2023/12
376,(주)에스지글로벌,1380,2020/12
377,(주)에스지글로벌,1380,2021/12
378,(주)에스지글로벌,1380,2022/12
379,(주)에스지글로벌,1380,2023/12
380,(주)에스지세계물산,4060,2020/12
381,(주)에스지세계물산,4060,2021/12
382,(주)에스지세계물산,4060,2022/12
383,(주)에스지세계물산,4060,2023/12
384,(주)에이치에스애드,35000,2020/12
385,(주)에이치에스애드,35000,2021/12
386,(주)에이치에스애드,35000,2022/12
387,(주)에이치에스애드,35000,2023/12
388,(주)에이프로젠,7460,2020/12
389,(주)에이프로젠,7460,2021/12
390,(주)에이프로젠,7460,2022/12
391,(주)에이프로젠,7460,2023/12
392,(주)에이프로젠바이오로직스,3060,2020/12
393,(주)에이프로젠바이오로직스,3060,2021/12
394,(주)에이프로젠바이오로직스,3060,2022/12
395,(주)에이프로젠바이오로직스,3060,2023/12
396,(주)엔케이,85310,2020/12
397,(주)엔케이,85310,2021/12
398,(주)엔케이,85310,2022/12
399,(주)엔케이,85310,2023/12
400,(주)엘앤에프,66970,2020/12
401,(주)엘앤에프,66970,2021/12
402,(주)엘앤에프,66970,2022/12
403,(주)엘앤에프,66970,2023/12
404,(주)엘에스,6260,2020/12
405,(주)엘에스,6260,2021/12
406,(주)엘에스,6260,2022/12
407,(주)엘에스,6260,2023/12
408,(주)엘에스네트웍스,680,2020/12
409,(주)엘에스네트웍스,680,2021/12
410,(주)엘에스네트웍스,680,2022/12
411,(주)엘에스네트웍스,680,2023/12
412,(주)엘에프,93050,2020/12
413,(주)엘에프,93050,2021/12
414,(주)엘에프,93050,2022/12
415,(주)엘에프,93050,2023/12
416,(주)엘엑스세미콘,108320,2020/12
417,(주)엘엑스세미콘,108320,2021/12
418,(주)엘엑스세미콘,108320,2022/12
419,(주)엘엑스세미콘,108320,2023/12
420,(주)엘엑스인터내셔널,1120,2020/12
421,(주)엘엑스인터내셔널,1120,2021/12
422,(주)엘엑스인터내셔널,1120,2022/12
423,(주)엘엑스인터내셔널,1120,2023/12
424,(주)엘엑스하우시스,108670,2020/12
425,(주)엘엑스하우시스,108670,2021/12
426,(주)엘엑스하우시스,108670,2022/12
427,(주)엘엑스하우시스,108670,2023/12
428,(주)엘엑스홀딩스,383800,2022/12
429,(주)엘엑스홀딩스,383800,2023/12
430,(주)엘지,3550,2020/12
431,(주)엘지,3550,2021/12
432,(주)엘지,3550,2022/12
433,(주)엘지,3550,2023/12
434,(주)엘지생활건강,51900,2020/12
435,(주)엘지생활건강,51900,2021/12
436,(주)엘지생활건강,51900,2022/12
437,(주)엘지생활건강,51900,2023/12
438,(주)엘지에너지솔루션,373220,2020/12
439,(주)엘지에너지솔루션,373220,2021/12
