,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20231231,20221231,20211231,20201231,20191231,20181231,20171231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
27,ifrs-full_AccrualsClassifiedAsCurrent,미지급비용,Accrued expenses,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,미지급비용,,26013273000000.0,29211487000000.0,27928031000000.0,24330339000000.0,19359624000000.0,20339687000000.0,13996273000000.0
28,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current income tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,당기법인세부채,,3358715000000.0,4250397000000.0,6749149000000.0,4430272000000.0,1387773000000.0,8720050000000.0,7408348000000.0
29,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,유동성장기부채,,1308875000000.0,1089162000000.0,1329968000000.0,716099000000.0,846090000000.0,33386000000.0,278619000000.0
30,ifrs-full_CurrentProvisions,충당부채,Provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,충당부채,,6524876000000.0,5844907000000.0,5372872000000.0,4349563000000.0,4068627000000.0,4384038000000.0,4294820000000.0
31,ifrs-full_OtherCurrentLiabilities,기타 유동부채,Other current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,기타 유동부채,,2308472000000.0,1951354000000.0,1492239000000.0,1127719000000.0,1037030000000.0,1054718000000.0,403139000000.0
32,ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정분류부채,Liabilities held-for-sale,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,매각예정분류부채,,61654000000.0,0.0,0.0,338742000000.0,0.0,0.0,
33,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,,,16508663000000.0,15330051000000.0,33604094000000.0,26683351000000.0,25901312000000.0,22522557000000.0,20085548000000.0
34,ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued,사채,Debentures,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,사채,,537618000000.0,536093000000.0,508232000000.0,948137000000.0,975298000000.0,961972000000.0,953361000000.0
35,ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,Long-term borrowings,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기차입금,,3724850000000.0,3560672000000.0,2866156000000.0,1999716000000.0,2197181000000.0,85085000000.0,1814446000000.0
36,ifrs-full_OtherNoncurrentPayables,장기미지급금,Long-term other payables,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],비유동부채,장기미지급금,,5488283000000.0,2753305000000.0,2991440000000.0,1682910000000.0,2184249000000.0,3194043000000.0,2043729000000.0
