,회사명,거래소코드,회계년도,단기차입금,유동성장기부채,사채,장기차입금,법인세비용,자본,부채,이자비용,세후타인자본비용
86,(주)대교,19680,2022/12,14205638.0,0.0,0.0,0.0,28477422.0,404390140.0,262333649.0,3601948.0,0.2535576367636568
87,(주)대교,19680,2023/12,59685763.0,0.0,0.0,0.0,638340.0,308525116.0,296001589.0,8075835.0,0.13530588525776238
88,(주)대우건설,47040,2020/12,399779000.0,892731000.0,0.0,0.0,94802011.0,2676996071.0,6628920364.0,104535510.0,0.0808779119697333
89,(주)대우건설,47040,2021/12,360401920.0,237863000.0,0.0,0.0,113466579.0,3216377898.0,7241599093.0,61368289.0,0.1025771141654102
90,(주)대우건설,47040,2022/12,573147000.0,509005000.0,0.0,0.0,205487350.0,3724617161.0,7415736591.0,80435372.0,0.0743290887047291
91,(주)대우건설,47040,2023/12,602529395.0,763170068.0,0.0,0.0,223487475.0,4061915414.0,7181221069.0,150492711.0,0.11019460362781149
92,(주)대웅,3090,2020/12,57052620.0,90775132.0,0.0,0.0,26237626.0,1116917930.0,720614938.0,10505730.0,0.07106737305996509
93,(주)대웅,3090,2021/12,56109217.0,201027235.0,0.0,0.0,13427079.0,1157034616.0,776674439.0,10292225.0,0.04002631645551367
94,(주)대웅,3090,2022/12,141741536.0,93077490.0,0.0,0.0,34664176.0,1279495802.0,879409306.0,8351007.0,0.035563587594473714
95,(주)대웅,3090,2023/12,174985759.0,206777378.0,0.0,0.0,11083066.0,1436798777.0,922478397.0,13993951.0,0.03665610857551184
96,(주)대웅제약,69620,2020/12,57052620.0,90910079.0,0.0,0.0,-10588733.0,695248617.0,671659305.0,10609840.0,0.07170618048809721
97,(주)대웅제약,69620,2021/12,56109217.0,200865147.0,0.0,0.0,-10322780.0,702407439.0,712772242.0,10248267.0,0.03988050341083829
98,(주)대웅제약,69620,2022/12,141741536.0,93114044.0,0.0,0.0,-833512.0,741222997.0,822117616.0,8405545.0,0.03579027162139388
99,(주)대웅제약,69620,2023/12,167425759.0,206903167.0,0.0,0.0,1996359.0,912281029.0,858029764.0,13602904.0,0.0363394412111235
100,(주)대유에이텍,2880,2020/12,165441780.0,61134774.0,0.0,0.0,8930192.0,239289133.0,927237547.0,16176594.0,0.07139571025517495
101,(주)대유에이텍,2880,2021/12,217078925.0,135034728.0,0.0,0.0,10170511.0,189701011.0,1131295315.0,17595897.0,0.04997220883110715
102,(주)대유에이텍,2880,2022/12,217371081.0,167836244.0,0.0,0.0,-14947406.0,238462812.0,1136743953.0,25882575.0,0.0671912845894091
103,(주)대유에이텍,2880,2023/12,23708629.0,67160749.0,0.0,0.0,-14113691.0,36798140.0,299228350.0,12562994.0,0.13825332886068617
104,(주)대창,12800,2020/12,242078420.0,17175568.0,0.0,0.0,3587348.0,221349993.0,398932797.0,9479783.0,0.03656562073791513
105,(주)대창,12800,2021/12,293143893.0,6081369.0,0.0,0.0,3059998.0,274114182.0,536623950.0,11013880.0,0.036807988491292555
106,(주)대창,12800,2022/12,246387612.0,64292762.0,0.0,0.0,1421746.0,276716175.0,563437643.0,16862670.0,0.054276585877935116
107,(주)대창,12800,2023/12,305156732.0,55518921.0,0.0,0.0,-4923555.0,250263992.0,509268660.0,22001109.0,0.06099970657015765
108,(주)대한항공,3490,2020/12,1900886974.0,3947261094.0,0.0,47347950.0,-111424154.0,3311724114.0,21878336960.0,513862527.0,0.08716188178756903
109,(주)대한항공,3490,2021/12,985568230.0,4371955138.0,0.0,41429590.0,264331989.0,6865689156.0,19806214029.0,390933686.0,0.07240916693314148
110,(주)대한항공,3490,2022/12,906051100.0,2750228822.0,0.0,0.0,832632146.0,9292460207.0,19705240816.0,400949993.0,0.10966063910683259
111,(주)대한항공,3490,2023/12,1021407680.0,2717963644.0,0.0,0.0,446584628.0,9815208242.0,20576567788.0,531415199.0,0.14211351399880393
112,(주)더블유게임즈,192080,2020/12,0.0,0.0,0.0,0.0,44274873.0,927887890.0,95278856.0,10421756.0,inf
113,(주)더블유게임즈,192080,2021/12,48849315.0,0.0,0.0,0.0,41570846.0,1184826771.0,197077448.0,1591758.0,0.032585062861168065
114,(주)더블유게임즈,192080,2022/12,0.0,29956448.0,0.0,0.0,-71298898.0,1006297224.0,229338874.0,3632814.0,0.12126985148573022
115,(주)더블유게임즈,192080,2023/12,0.0,19976763.0,0.0,0.0,51444097.0,1196725259.0,91075430.0,2297655.0,0.11501638178317478
116,(주)더존비즈온,12510,2020/12,18000000.0,2672232.0,0.0,0.0,15064938.0,397981025.0,400993980.0,7281227.0,0.3522225853502418
117,(주)더존비즈온,12510,2021/12,18000000.0,252743256.0,0.0,0.0,17401181.0,501726227.0,398587976.0,7203653.0,0.026606952676967142
118,(주)더존비즈온,12510,2022/12,18000000.0,2062081.0,0.0,0.0,8178964.0,438499757.0,394392969.0,9485389.0,0.47280184941930997
