,회사명,거래소코드,회계년도,유형자산,무형자산,비유동생물자산,기타비유동자산,재고자산,투하자산
167,(주)디아이,3160,2023/12,75901417.0,6244790.0,0.0,4186853.0,68236591.0,154569651.0
168,(주)디아이씨,92200,2020/12,380812404.0,912602.0,0.0,0.0,85465619.0,467190625.0
169,(주)디아이씨,92200,2021/12,403425890.0,839847.0,0.0,0.0,94485927.0,498751664.0
170,(주)디아이씨,92200,2022/12,360841740.0,745191.0,0.0,0.0,103059444.0,464646375.0
171,(주)디아이씨,92200,2023/12,396087173.0,659320.0,0.0,0.0,113008697.0,509755190.0
172,(주)디알비동일,4840,2020/12,370927859.0,6768418.0,0.0,1225271.0,78607515.0,457529063.0
173,(주)디알비동일,4840,2021/12,392898062.0,4170381.0,0.0,996109.0,110920541.0,508985093.0
174,(주)디알비동일,4840,2022/12,397591091.0,4690957.0,0.0,17046314.0,142723632.0,562051994.0
175,(주)디알비동일,4840,2023/12,403744029.0,1857277.0,0.0,6127242.0,123096765.0,534825313.0
176,(주)디엔오토모티브,7340,2020/12,297018824.0,17772923.0,0.0,4100075.0,131914944.0,450806766.0
177,(주)디엔오토모티브,7340,2021/12,290539800.0,14420509.0,0.0,3594267.0,184422721.0,492977297.0
178,(주)디엔오토모티브,7340,2022/12,711569595.0,307418163.0,0.0,11483410.0,659977419.0,1690448587.0
179,(주)디엔오토모티브,7340,2023/12,749158638.0,292064763.0,0.0,17166451.0,626773902.0,1685163754.0
180,(주)마니커,27740,2020/12,110949788.0,365391.0,1339078.0,0.0,4819380.0,117473637.0
181,(주)마니커,27740,2021/12,99954806.0,269276.0,0.0,0.0,3065813.0,103289895.0
182,(주)마니커,27740,2022/12,102535091.0,146301.0,345821.0,0.0,5016049.0,108043262.0
183,(주)마니커,27740,2023/12,97540937.0,43538.0,212493.0,0.0,9383104.0,107180072.0
184,(주)모나미,5360,2020/12,60235902.0,2434150.0,0.0,227731.0,31397391.0,94295174.0
185,(주)모나미,5360,2021/12,57451539.0,2295948.0,0.0,194774.0,34446529.0,94388790.0
186,(주)모나미,5360,2022/12,86697770.0,2114898.0,0.0,165728.0,45256073.0,134234469.0
187,(주)모나미,5360,2023/12,83845073.0,2025393.0,0.0,185384.0,43782410.0,129838260.0
188,(주)모토닉,9680,2020/12,72174373.0,278314.0,0.0,1927700.0,11990275.0,86370662.0
189,(주)모토닉,9680,2021/12,64421309.0,281866.0,0.0,1384954.0,11240831.0,77328960.0
190,(주)모토닉,9680,2022/12,60266040.0,246474.0,0.0,4833609.0,11789459.0,77135582.0
