회사명,거래소코드,회계년도,[제조]      단기차입금(*)(IFRS연결),[제조]      유동성장기부채(*)(IFRS연결),[제조]            사채(IFRS연결),[제조]            장기차입금(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]   이자비용(IFRS연결),[제조]법인세비용(IFRS연결),[제조]자본(*)(IFRS연결),[제조]부채(*)(IFRS연결)
(주)농심,004370,2022/12,20494221,460756,0,0,0,0,0,3067828,42807029,2315340179,719378357
(주)농심,004370,2023/12,21346845,282291,0,0,0,0,0,3865576,59659188,2440801761,793949665
(주)농심홀딩스,072710,2020/12,76000000,0,0,0,0,0,0,2508973,4707655,973514068,274628632
(주)농심홀딩스,072710,2021/12,66484000,0,0,0,0,0,0,1889774,5166462,1038914396,289723336
(주)농심홀딩스,072710,2022/12,86336500,389192,0,0,0,0,0,3658611,14311178,1077267431,311863433
(주)농심홀딩스,072710,2023/12,130500000,609668,0,0,0,0,0,6999170,5978789,1124279984,380779228
(주)다우기술,023590,2020/12,11236630836,0,0,0,0,0,0,7096049,350988887,3245177240,35377055590
(주)다우기술,023590,2021/12,13674528927,0,0,0,0,0,0,7532256,384585484,4616469257,41705976712
(주)다우기술,023590,2022/12,16836104503,0,0,0,0,0,0,6337188,64401574,5188413233,44071595510
(주)다우기술,023590,2023/12,316796011,0,0,0,0,0,0,9601791,176563685,5550533035,47791926295
(주)다이나믹디자인,145210,2020/12,6754450,1045094,0,0,0,0,0,3776027,5455884,64203035,86954567
(주)다이나믹디자인,145210,2021/12,7449831,1047241,0,0,0,0,0,4194589,-333464,41794573,74246404
(주)다이나믹디자인,145210,2022/12,8118555,479372,0,0,0,0,0,5810619,-134448,48843612,49003937
(주)다이나믹디자인,145210,2023/12,6683232,0,0,0,0,0,0,1947497,-453617,52288292,54233105
(주)대교,019680,2020/12,21919254,0,0,0,0,0,2660000,1438673,-19674695,558886529,286275447
(주)대교,019680,2021/12,15261900,0,0,0,0,0,1972000,1270000,-1955205,516401847,297164686
(주)대교,019680,2022/12,14205638,0,0,0,0,0,2472000,1129948,28477422,404390140,262333649
(주)대교,019680,2023/12,59685763,0,0,0,0,0,5604000,2471835,638340,308525116,296001589
(주)대구백화점,006370,2020/12,69000000,59900000,0,0,0,0,0,5950065,-47403,262345743,246310150
(주)대구백화점,006370,2021/12,84000000,42500000,0,0,0,0,0,6294145,-17554047,254032332,232567470
(주)대구백화점,006370,2022/12,69000000,93833320,0,0,0,0,0,7772047,168384,231420373,238926889
(주)대덕,008060,2020/12,20959717,10000,0,0,0,0,0,14854,-3632659,1346267708,292481242
(주)대덕,008060,2021/12,7171044,1000000,0,0,0,0,0,733595,15568255,1372902715,351055476
