,회사명,거래소코드,회계년도,BETA,CAPM
63,(주)남성,4270,2023/12,0.6933579156369291,0.6933579156369291
64,(주)넥센,5720,2020/12,1.232431909993401,1.232431909993401
65,(주)넥센,5720,2021/12,0.917389197157488,0.917389197157488
66,(주)넥센,5720,2022/12,0.8458206021347898,0.8458206021347898
67,(주)넥센,5720,2023/12,0.5465300107150501,0.5465300107150501
68,(주)노루페인트,90350,2020/12,1.0641520764299948,1.0641520764299948
69,(주)노루페인트,90350,2021/12,2.1574934797944323,2.1574934797944323
70,(주)노루페인트,90350,2022/12,1.5214153675267124,1.5214153675267124
71,(주)노루페인트,90350,2023/12,0.5988985760363845,0.5988985760363845
72,(주)농심,4370,2020/12,0.09522660800298484,0.09522660800298484
73,(주)농심,4370,2021/12,0.6982102601572171,0.6982102601572171
74,(주)농심,4370,2022/12,-0.01745615995904561,-0.01745615995904561
75,(주)농심,4370,2023/12,0.03254849906816332,0.03254849906816332
76,(주)다우기술,23590,2020/12,1.0478646918879604,1.0478646918879604
77,(주)다우기술,23590,2021/12,0.16645414693916433,0.16645414693916433
78,(주)다우기술,23590,2022/12,1.0363539015677743,1.0363539015677743
79,(주)다우기술,23590,2023/12,1.4396295419373404,1.4396295419373404
80,(주)다이나믹디자인,145210,2020/12,0.00823537407701751,0.00823537407701751
81,(주)다이나믹디자인,145210,2021/12,1.9789693730900897,1.9789693730900897
82,(주)다이나믹디자인,145210,2022/12,1.5711781571607013,1.5711781571607013
83,(주)다이나믹디자인,145210,2023/12,3.5887505561232924,3.5887505561232924
84,(주)대교,19680,2020/12,0.900963539736601,0.900963539736601
85,(주)대교,19680,2021/12,1.167968519981261,1.167968519981261
86,(주)대교,19680,2022/12,1.2896236727675061,1.2896236727675061
87,(주)대교,19680,2023/12,0.13334152090996035,0.13334152090996035
88,(주)대우건설,47040,2020/12,1.454772138049177,1.454772138049177
89,(주)대우건설,47040,2021/12,1.4725265903694262,1.4725265903694262
90,(주)대우건설,47040,2022/12,1.0837813931931926,1.0837813931931926
91,(주)대우건설,47040,2023/12,1.013914204713743,1.013914204713743
92,(주)대웅,3090,2020/12,1.6137125960848904,1.6137125960848904
93,(주)대웅,3090,2021/12,1.210815486655359,1.210815486655359
94,(주)대웅,3090,2022/12,0.8826647998181097,0.8826647998181097
95,(주)대웅,3090,2023/12,1.0273018473984457,1.0273018473984457
96,(주)대웅제약,69620,2020/12,1.553663259250765,1.553663259250765
97,(주)대웅제약,69620,2021/12,0.9847216352455813,0.9847216352455813
98,(주)대웅제약,69620,2022/12,0.5053166138781129,0.5053166138781129
99,(주)대웅제약,69620,2023/12,0.8327202176247874,0.8327202176247874
100,(주)대유에이텍,2880,2020/12,0.8798894496627336,0.8798894496627336
101,(주)대유에이텍,2880,2021/12,1.585262211047013,1.585262211047013
102,(주)대유에이텍,2880,2022/12,1.3545656271389077,1.3545656271389077
103,(주)대유에이텍,2880,2023/12,0.20557061904126964,0.20557061904126964
104,(주)대창,12800,2020/12,1.4652672924818109,1.4652672924818109
105,(주)대창,12800,2021/12,1.4493792710004856,1.4493792710004856
106,(주)대창,12800,2022/12,1.740525964352031,1.740525964352031
107,(주)대창,12800,2023/12,0.9224337171140671,0.9224337171140671
108,(주)대한항공,3490,2020/12,1.591884880149055,1.591884880149055
109,(주)대한항공,3490,2021/12,0.6533727086245704,0.6533727086245704
110,(주)대한항공,3490,2022/12,1.2676853835701354,1.2676853835701354
111,(주)대한항공,3490,2023/12,0.754111552106139,0.754111552106139
112,(주)더블유게임즈,192080,2020/12,0.43729524996160335,0.43729524996160335
113,(주)더블유게임즈,192080,2021/12,0.9650197752489004,0.9650197752489004
114,(주)더블유게임즈,192080,2022/12,0.6466162945848053,0.6466162945848053
115,(주)더블유게임즈,192080,2023/12,0.9178561767260636,0.9178561767260636
116,(주)더존비즈온,12510,2020/12,0.7184568803255434,0.7184568803255434
117,(주)더존비즈온,12510,2021/12,0.8959269347844355,0.8959269347844355
118,(주)더존비즈온,12510,2022/12,0.8409384105151425,0.8409384105151425
119,(주)더존비즈온,12510,2023/12,0.10014004409428535,0.10014004409428535
120,(주)덕성,4830,2020/12,2.1475626003881665,2.1475626003881665
121,(주)덕성,4830,2021/12,1.285283675859011,1.285283675859011
122,(주)덕성,4830,2022/12,1.5564228500078399,1.5564228500078399
123,(주)덕성,4830,2023/12,0.06333697015372262,0.06333697015372262
124,(주)덴티움,145720,2020/12,0.8727141288626435,0.8727141288626435
125,(주)덴티움,145720,2021/12,0.7201473159614974,0.7201473159614974
126,(주)덴티움,145720,2022/12,0.8856510828600775,0.8856510828600775
127,(주)덴티움,145720,2023/12,1.1948170917981167,1.1948170917981167
128,(주)도화엔지니어링,2150,2020/12,1.1007137671171157,1.1007137671171157
129,(주)도화엔지니어링,2150,2021/12,0.7570086364246656,0.7570086364246656
130,(주)도화엔지니어링,2150,2022/12,1.1081515175936234,1.1081515175936234
131,(주)도화엔지니어링,2150,2023/12,0.8182242108326304,0.8182242108326304
132,(주)동방,4140,2020/12,0.6462607403908853,0.6462607403908853
133,(주)동방,4140,2021/12,-0.2416010327167324,-0.2416010327167324
134,(주)동방,4140,2022/12,1.9606180012196042,1.9606180012196042
135,(주)동방,4140,2023/12,0.8989535322433704,0.8989535322433704
136,(주)동방아그로,7590,2020/12,0.5815231062295962,0.5815231062295962
137,(주)동방아그로,7590,2021/12,1.2428721615439564,1.2428721615439564
138,(주)동방아그로,7590,2022/12,0.6401752290918438,0.6401752290918438
139,(주)동방아그로,7590,2023/12,0.43505315568937736,0.43505315568937736
140,(주)동서,26960,2020/12,0.3297452422870654,0.3297452422870654
141,(주)동서,26960,2021/12,1.2057037228483356,1.2057037228483356
142,(주)동서,26960,2022/12,0.8218483093210339,0.8218483093210339
143,(주)동서,26960,2023/12,0.7468880194996113,0.7468880194996113
144,(주)동양,1520,2020/12,0.8590595885527287,0.8590595885527287
145,(주)동양,1520,2021/12,1.2723634717534675,1.2723634717534675
146,(주)동양,1520,2022/12,1.2413385056897506,1.2413385056897506
147,(주)동양,1520,2023/12,0.5362886690206546,0.5362886690206546
148,(주)동양고속,84670,2020/12,0.24661904272726445,0.24661904272726445
149,(주)동양고속,84670,2021/12,0.644525434021877,0.644525434021877
150,(주)동양고속,84670,2022/12,0.8196009434187983,0.8196009434187983
