,회사명,거래소코드,회계년도,매출액,판관비,매출원가,법인세비용,ROIC,법인세비율
88,(주)대우건설,47040,2020/12,8136705737.0,442033540.0,7136414675.0,94802011.0,463455511.0,16.981770466856332
89,(주)대우건설,47040,2021/12,8685207680.0,500551092.0,7446343103.0,113466579.0,624846906.0,15.3683470917506
90,(주)대우건설,47040,2022/12,10419213132.0,493686863.0,9165519755.0,205487350.0,554519164.0,27.03757747002679
91,(주)대우건설,47040,2023/12,11647800865.0,549210897.0,10436072415.0,223487475.0,439030078.0,33.73306472983366
92,(주)대웅,3090,2020/12,1355337387.0,528401871.0,728880198.0,26237626.0,71817692.0,26.75798369242961
93,(주)대웅,3090,2021/12,1511373581.0,580545628.0,748200794.0,13427079.0,169200080.0,7.352180844033171
94,(주)대웅,3090,2022/12,1697338483.0,692317676.0,797686564.0,34664176.0,172670067.0,16.718982594688907
95,(주)대웅,3090,2023/12,1813841462.0,735640805.0,882594375.0,11083066.0,184523216.0,5.666007188869323
96,(주)대웅제약,69620,2020/12,1055423690.0,429961998.0,608481968.0,-10588733.0,27568457.0,-62.36104308880404
97,(주)대웅제약,69620,2021/12,1152975698.0,455843718.0,608229804.0,-10322780.0,99224956.0,-11.611391829149378
98,(주)대웅제약,69620,2022/12,1280091851.0,543160411.0,641134291.0,-833512.0,96630661.0,-0.8700801732627763
99,(주)대웅제약,69620,2023/12,1375328745.0,565574772.0,687162024.0,1996359.0,120595590.0,1.6284584887381146
100,(주)대유에이텍,2880,2020/12,1466904248.0,192490421.0,1227248870.0,8930192.0,38234765.0,18.933955563661385
101,(주)대유에이텍,2880,2021/12,1655785868.0,219842594.0,1393671904.0,10170511.0,32100859.0,24.060045841901974
102,(주)대유에이텍,2880,2022/12,1403967295.0,233554934.0,1202433066.0,-14947406.0,-17073299.0,46.680440046526144
103,(주)대유에이텍,2880,2023/12,566931443.0,31164840.0,499670415.0,-14113691.0,50209879.0,-39.10022576345181
104,(주)대창,12800,2020/12,933560488.0,30984354.0,874225317.0,3587348.0,24763469.0,12.65342018185931
105,(주)대창,12800,2021/12,1277635712.0,43620970.0,1173717020.0,3059998.0,57237724.0,5.07481526416537
106,(주)대창,12800,2022/12,1441272496.0,44413377.0,1387770420.0,1421746.0,7666953.0,15.643008971911163
107,(주)대창,12800,2023/12,1323045956.0,39799482.0,1292512518.0,-4923555.0,-4342489.0,53.13545888623021
108,(주)대한항공,3490,2020/12,7606224079.0,652827200.0,6844478760.0,-111424154.0,220342273.0,-102.30084307643985
109,(주)대한항공,3490,2021/12,9016824640.0,686808944.0,6912047064.0,264331989.0,1153636643.0,18.64159636783841
110,(주)대한항공,3490,2022/12,14096094819.0,1020067635.0,10245440431.0,832632146.0,1997954607.0,29.41553178391491
111,(주)대한항공,3490,2023/12,16111796106.0,1471405038.0,12850301877.0,446584628.0,1343504563.0,24.947618825100207
112,(주)더블유게임즈,192080,2020/12,658175939.0,463991867.0,0.0,44274873.0,149909199.0,22.80046583841336
113,(주)더블유게임즈,192080,2021/12,624060773.0,433696362.0,0.0,41570846.0,148793565.0,21.837509323105568
114,(주)더블유게임즈,192080,2022/12,617262020.0,433404590.0,0.0,-71298898.0,255156328.0,-38.77944883706903
115,(주)더블유게임즈,192080,2023/12,582333575.0,369041555.0,0.0,51444097.0,161847923.0,24.119091281520987
116,(주)더존비즈온,12510,2020/12,306455633.0,92573497.0,137153466.0,15064938.0,61663732.0,19.634040313744524
117,(주)더존비즈온,12510,2021/12,318746986.0,71184880.0,176389042.0,17401181.0,53771883.0,24.44911041064637
118,(주)더존비즈온,12510,2022/12,304302941.0,74400765.0,184368563.0,8178964.0,37354649.0,17.962475325645695
119,(주)더존비즈온,12510,2023/12,353562627.0,83710018.0,200782369.0,11084475.0,57985765.0,16.048120000741275
120,(주)덕성,4830,2020/12,117682292.0,12151072.0,99966564.0,520650.0,5044006.0,9.35637351167799
121,(주)덕성,4830,2021/12,115176864.0,12309556.0,98888203.0,1794886.0,2184219.0,45.10778177504741
122,(주)덕성,4830,2022/12,133297779.0,14115156.0,113934239.0,1285270.0,3963114.0,24.4888712411287
123,(주)덕성,4830,2023/12,107932701.0,12816880.0,90025754.0,1220069.0,3869998.0,23.96960590106181
124,(주)덴티움,145720,2020/12,229749431.0,103201405.0,86952385.0,3834902.0,35760739.0,9.685162061147084
125,(주)덴티움,145720,2021/12,291529687.0,123271425.0,98375867.0,19218303.0,50664092.0,27.500922084882752
126,(주)덴티움,145720,2022/12,355865975.0,134973610.0,95189765.0,32250961.0,93451639.0,25.656558416452803
127,(주)덴티움,145720,2023/12,393188581.0,140560137.0,114349187.0,37954241.0,100325016.0,27.44753032625855
128,(주)도화엔지니어링,2150,2020/12,574922989.0,550912363.0,0.0,5874764.0,18135862.0,24.467350413937563
